agent_id,pq_id,candidate_index,candidate_params,baseline_settlement_chf,deviation_settlement_chf,improvement_chf,profitable
0,6,0,{'policy_id': 1.0},15.830484390258789,19.437231063842773,3.6067466735839844,True
0,6,1,{'policy_id': 4.0},15.830484390258789,19.437231063842773,3.6067466735839844,True
0,6,2,{'policy_id': 15.0},15.830484390258789,19.437231063842773,3.6067466735839844,True
0,6,3,{'policy_id': 23.0},15.830484390258789,19.437231063842773,3.6067466735839844,True
0,6,4,{'policy_id': 31.0},15.830484390258789,19.437231063842773,3.6067466735839844,True
1,7,0,{'policy_id': 1.0},34.092315673828125,40.670494079589844,6.578178405761719,True
1,7,1,{'policy_id': 4.0},34.092315673828125,43.936641693115234,9.84432601928711,True
1,7,2,{'policy_id': 15.0},34.092315673828125,44.267982482910156,10.175666809082031,True
1,7,3,{'policy_id': 23.0},34.092315673828125,44.57258605957031,10.480270385742188,True
1,7,4,{'policy_id': 31.0},34.092315673828125,44.31508255004883,10.222766876220703,True
2,8,0,{'policy_id': 1.0},35.23409652709961,39.90093231201172,4.666835784912109,True
2,8,1,{'policy_id': 4.0},35.23409652709961,43.60148620605469,8.367389678955078,True
2,8,2,{'policy_id': 15.0},35.23409652709961,44.04354476928711,8.8094482421875,True
2,8,3,{'policy_id': 23.0},35.23409652709961,44.36358642578125,9.12948989868164,True
2,8,4,{'policy_id': 31.0},35.23409652709961,44.13142013549805,8.897323608398438,True
3,9,0,{'policy_id': 1.0},24.08477020263672,27.398033142089844,3.313262939453125,True
3,9,1,{'policy_id': 4.0},24.08477020263672,27.605859756469727,3.521089553833008,True
3,9,2,{'policy_id': 15.0},24.08477020263672,27.73320960998535,3.648439407348633,True
3,9,3,{'policy_id': 23.0},24.08477020263672,27.899555206298828,3.8147850036621094,True
3,9,4,{'policy_id': 31.0},24.08477020263672,27.845626831054688,3.7608566284179688,True
4,10,0,{'policy_id': 1.0},10.558206558227539,11.376233100891113,0.8180265426635742,True
4,10,1,{'policy_id': 4.0},10.558206558227539,11.376233100891113,0.8180265426635742,True
4,10,2,{'policy_id': 15.0},10.558206558227539,11.376233100891113,0.8180265426635742,True
4,10,3,{'policy_id': 23.0},10.558206558227539,11.376233100891113,0.8180265426635742,True
4,10,4,{'policy_id': 31.0},10.558206558227539,11.376233100891113,0.8180265426635742,True
5,11,0,{'policy_id': 1.0},32.33552932739258,35.43577194213867,3.1002426147460938,True
5,11,1,{'policy_id': 4.0},32.33552932739258,37.9815788269043,5.646049499511719,True
5,11,2,{'policy_id': 15.0},32.33552932739258,38.10346984863281,5.767940521240234,True
5,11,3,{'policy_id': 23.0},32.33552932739258,38.897911071777344,6.562381744384766,True
5,11,4,{'policy_id': 31.0},32.33552932739258,38.31633758544922,5.980808258056641,True
6,12,0,{'policy_id': 1.0},10.405315399169922,8.72198486328125,-1.6833305358886719,False
6,12,1,{'policy_id': 4.0},10.405315399169922,9.381338119506836,-1.023977279663086,False
6,12,2,{'policy_id': 15.0},10.405315399169922,10.567915916442871,0.16260051727294922,True
6,12,3,{'policy_id': 23.0},10.405315399169922,10.308862686157227,-0.09645271301269531,False
6,12,4,{'policy_id': 31.0},10.405315399169922,11.25754451751709,0.852229118347168,True
7,13,0,{'policy_id': 1.0},20.9407958984375,20.16964340209961,-0.7711524963378906,False
7,13,1,{'policy_id': 4.0},20.9407958984375,21.100648880004883,0.1598529815673828,True
7,13,2,{'policy_id': 15.0},20.9407958984375,21.92401885986328,0.9832229614257812,True
7,13,3,{'policy_id': 23.0},20.9407958984375,21.711978912353516,0.7711830139160156,True
7,13,4,{'policy_id': 31.0},20.9407958984375,22.21219825744629,1.271402359008789,True
8,14,0,{'policy_id': 1.0},28.791351318359375,27.053730010986328,-1.7376213073730469,False
8,14,1,{'policy_id': 4.0},28.791351318359375,30.71137237548828,1.9200210571289062,True
8,14,2,{'policy_id': 15.0},28.791351318359375,30.39023208618164,1.5988807678222656,True
8,14,3,{'policy_id': 23.0},28.791351318359375,30.77097511291504,1.979623794555664,True
8,14,4,{'policy_id': 31.0},28.791351318359375,31.690723419189453,2.899372100830078,True
9,15,0,{'policy_id': 1.0},15.954992294311523,12.910457611083984,-3.044534683227539,False
9,15,1,{'policy_id': 4.0},15.954992294311523,15.692057609558105,-0.26293468475341797,False
9,15,2,{'policy_id': 15.0},15.954992294311523,15.761922836303711,-0.1930694580078125,False
9,15,3,{'policy_id': 23.0},15.954992294311523,16.136018753051758,0.18102645874023438,True
9,15,4,{'policy_id': 31.0},15.954992294311523,15.739529609680176,-0.21546268463134766,False
10,16,0,{'policy_id': 1.0},23.065441131591797,21.65518569946289,-1.4102554321289062,False
10,16,1,{'policy_id': 4.0},23.065441131591797,23.393959045410156,0.3285179138183594,True
10,16,2,{'policy_id': 15.0},23.065441131591797,23.030338287353516,-0.03510284423828125,False
10,16,3,{'policy_id': 23.0},23.065441131591797,23.201866149902344,0.13642501831054688,True
10,16,4,{'policy_id': 31.0},23.065441131591797,23.306570053100586,0.24112892150878906,True
11,17,0,{'policy_id': 1.0},-0.9876680374145508,-0.19177818298339844,0.7958898544311523,True
11,17,1,{'policy_id': 4.0},-0.9876680374145508,-2.6760969161987305,-1.6884288787841797,False
11,17,2,{'policy_id': 15.0},-0.9876680374145508,-0.6071338653564453,0.38053417205810547,True
11,17,3,{'policy_id': 23.0},-0.9876680374145508,-0.6647710800170898,0.32289695739746094,True
11,17,4,{'policy_id': 31.0},-0.9876680374145508,-1.0762453079223633,-0.0885772705078125,False
